data-id ,data-productcode ,data-price ,href                                                                                     ,data-name                                                   ,data-id ,data-price ,data-brand     ,data-cate  ,item-rating-total
 285224 ,   0131491003327 , 5990000   ,https://www.dienmayxanh.com/dien-thoai/vivo-y22s-8gb?utm_flashsale=1                     ,Điện thoại vivo Y22s 8GB                                    , 285224 , 5990000   ,vivo           ,Điện thoại ,              120
 306979 ,   0131491003750 ,13990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-reno10-pro                                   ,Điện thoại OPPO Reno10 Pro 5G                               , 306979 ,11990000.0 ,OPPO           ,Điện thoại ,               24
 306980 ,   0131491003846 ,19990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-reno10-pro-plus                              ,Điện thoại OPPO Reno10 Pro+ 5G                              , 306980 ,16990000.0 ,OPPO           ,Điện thoại ,                4
 312965 ,   0131491004000 ,10990000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-13-pro-plus                     ,Điện thoại Xiaomi Redmi Note 13 Pro+ 5G                     , 312965 ,10490000.0 ,Xiaomi         ,Điện thoại ,               28
 299248 ,   0131491003628 , 8490000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-reno8-t                                      ,Điện thoại OPPO Reno8 T                                     , 299248 , 6490000.0 ,OPPO           ,Điện thoại ,               84
 264121 ,   0130018000468 ,  700000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-fami-60                                   ,Điện thoại Masstel FAMI 60                                  , 264121 ,  700000.0 ,Masstel        ,Điện thoại ,              148
 299611 ,   0130018000518 ,  500000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-lux-10                                    ,Điện thoại Masstel Lux 10                                   , 299611 ,  500000.0 ,Masstel        ,Điện thoại ,               88
 322877 ,   0130018000542 ,  500000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-izi-t6                                    ,Điện thoại Masstel IZI T6 4G                                , 322877 ,  500000.0 ,Masstel        ,Điện thoại ,                0
 265311 ,   0130018000463 ,  390000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-izi-10                                    ,Điện thoại Masstel IZI 10                                   , 265311 ,  390000.0 ,Masstel        ,Điện thoại ,              237
 319246 ,   0131491003930 , 2790000.0 ,https://www.dienmayxanh.com/dien-thoai/realme-c51-3-64gb                                 ,Điện thoại realme C51 (3GB/64GB)                            , 319246 , 2790000.0 ,realme         ,Điện thoại ,                0
 302953 ,   0131491003907 ,44990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-find-n3                                      ,Điện thoại OPPO Find N3 5G                                  , 302953 ,41990000.0 ,OPPO           ,Điện thoại ,                0
