data-brand,data-cate,href
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-oled-lg-4k-65-inch-65a3psa?utm_flashsale=1
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-oled-lg-4k-65-inch-65c3psa
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-qned-lg-4k-75-inch-75qned80sra
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-samsung-4k-50-inch-ua50bu8500
LG,Tivi,https://www.dienmayxanh.com/tivi/smart-lg-4k-75-inch-75uq8000psc
Toshiba,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-toshiba-4k-55-inch-55c350lp
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-sony-4k-65-inch-xr-65x90l
Hisense,Tivi,https://www.dienmayxanh.com/tivi/tivi-led-hisense-40a4200g?utm_flashsale=1
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-samsung-4k-50-inch-ua50bu8000
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-qled-4k-75-inch-samsung-qa75q60b?utm_flashsale=1
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-neo-qled-4k-65-inch-samsung-qa65qn90c?utm_flashsale=1
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-oled-samsung-4k-77-inch-qa77s90ca
AQUA,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-aqua-4k-65-inch-aqt65p750ug
Hisense,Tivi,https://www.dienmayxanh.com/tivi/tivi-led-4k-hisense-65a6500k
Samsung,Tivi,https://www.dienmayxanh.com/tivi/samsung-ua32t4500
TCL,Tivi,https://www.dienmayxanh.com/tivi/android-tcl-4k-50-inch-50p737
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-neo-qled-4k-65-inch-samsung-qa65qn90b
TCL,Tivi,https://www.dienmayxanh.com/tivi/google-tcl-4k-43-inch-43p635?utm_flashsale=1
Toshiba,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-qled-toshiba-4k-50-inch-50m550lp
Samsung,Tivi,https://www.dienmayxanh.com/tivi/smart-tivi-qled-4k-65-inch-samsung-qa65q80c
Sony,Tivi,https://www.dienmayxanh.com/tivi/google-tivi-oled-sony-4k-65-inch-65a80l
